Trajectories
200
,,BME:T,,,BME:R,,,BME:B,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,204.411,235.303,250.579,188.348,280.094,185.651,231.277,210.023,151.917
2,0,204.432,235.305,250.616,188.346,280.103,185.647,231.091,210.18,152
3,0,204.39,235.296,250.598,188.328,280.09,185.651,231.275,210.052,151.929
4,0,204.368,235.296,250.573,188.331,280.093,185.651,231.231,210.082,151.946
5,0,204.406,235.297,250.612,188.325,280.118,185.658,231.244,210.042,151.972
6,0,204.438,235.315,250.643,188.334,280.104,185.657,231.22,210.107,151.955
7,0,204.42,235.318,250.627,188.341,280.116,185.66,231.224,209.985,151.92
8,0,204.416,235.304,250.64,188.319,280.111,185.645,231.02,210.213,151.942
9,0,204.435,235.299,250.644,188.311,280.128,185.651,231.15,210.068,151.916
10,0,204.435,235.323,250.658,188.35,280.12,185.665,231.04,210.187,151.988
11,0,204.474,235.32,250.657,188.331,280.119,185.648,231.048,210.168,152.02
12,0,204.466,235.325,250.672,188.293,280.12,185.66,231.113,210.141,151.932
13,0,204.475,235.303,250.715,188.287,280.13,185.652,230.962,210.236,151.922
14,0,204.438,235.312,250.668,188.308,280.112,185.657,231.05,210.105,151.877
15,0,204.432,235.317,250.646,188.311,280.121,185.655,231.091,210.059,151.925
16,0,204.499,235.322,250.717,188.308,280.126,185.66,231.013,210.146,152.003
17,0,204.477,235.309,250.657,188.252,280.141,185.634,231.019,210.104,151.889
18,0,204.47,235.317,250.663,188.326,280.118,185.66,231.072,210.141,151.955
19,0,204.446,235.332,250.661,188.305,280.132,185.641,230.974,210.203,151.992
20,0,204.442,235.324,250.674,188.301,280.131,185.66,231.079,210.091,151.915
21,0,204.158,235.332,250.408,188.293,280.143,185.652,231.131,210.078,151.957
22,0,204.511,235.313,250.726,188.281,280.118,185.664,231.064,210.125,151.867
23,0,204.471,235.316,250.714,188.251,280.127,185.643,231.071,210.109,151.924
24,0,204.48,235.315,250.673,188.286,280.114,185.647,231.06,210.08,151.895
25,0,204.46,235.314,250.665,188.312,280.14,185.657,231.099,210.072,151.927
26,0,204.425,235.316,250.64,188.314,280.139,185.655,230.924,210.241,151.935
27,0,204.461,235.313,250.681,188.301,280.108,185.662,231.07,210.075,151.944
28,0,204.511,235.322,250.722,188.293,280.137,185.649,230.954,210.213,151.912
29,0,204.472,235.315,250.701,188.303,280.141,185.654,231.178,209.955,151.973
30,0,204.514,235.324,250.698,188.321,280.132,185.663,231.016,210.118,151.979
31,0,204.47,235.334,250.701,188.311,280.126,185.664,231.028,210.064,151.909
32,0,204.513,235.31,250.737,188.298,280.126,185.662,230.991,210.177,151.974
33,0,204.503,235.319,250.716,188.321,280.134,185.653,231.027,210.161,152.01
34,0,204.499,235.329,250.67,188.292,280.137,185.652,231.11,210.002,151.922
35,0,204.491,235.316,250.682,188.312,280.131,185.652,231.094,210.156,151.934
36,0,204.457,235.318,250.684,188.277,280.134,185.658,231.018,210.073,151.924
37,0,204.506,235.311,250.694,188.301,280.132,185.655,231.032,210.13,151.927
38,0,204.443,235.333,250.654,188.334,280.145,185.659,230.989,210.237,151.963
39,0,204.49,235.327,250.674,188.311,280.141,185.651,231.064,210.117,151.893
40,0,204.463,235.328,250.692,188.31,280.119,185.671,231.047,210.116,151.861
41,0,204.464,235.315,250.697,188.311,280.125,185.672,231.101,210.013,151.927
42,0,204.511,235.321,250.755,188.313,280.125,185.666,230.995,210.193,152.032
43,0,204.469,235.325,250.692,188.317,280.127,185.641,231.131,210.088,151.905
44,0,204.486,235.318,250.695,188.285,280.128,185.647,231.074,210.107,151.894
45,0,204.481,235.318,250.696,188.276,280.134,185.653,231.086,210.088,151.903
46,0,204.474,235.313,250.697,188.299,280.133,185.669,231.057,210.092,151.898
47,0,204.503,235.321,250.693,188.313,280.129,185.661,231.066,210.082,151.9
48,0,204.503,235.321,250.701,188.307,280.127,185.657,231.111,210.068,151.967
49,0,204.516,235.322,250.714,188.322,280.128,185.66,231.098,210.088,151.942
50,0,204.48,235.314,250.683,188.322,280.127,185.658,231.039,210.054,151.916
51,0,204.467,235.318,250.693,188.281,280.132,185.655,231.061,210.091,151.93
52,0,204.483,235.327,250.729,188.321,280.119,185.663,231.096,210.077,151.911
53,0,204.487,235.32,250.695,188.312,280.133,185.665,231.033,210.15,152.026
54,0,204.444,235.32,250.687,188.303,280.123,185.662,230.959,210.215,151.93
55,0,204.49,235.32,250.682,188.297,280.126,185.656,231.072,210.036,151.94
56,0,204.483,235.33,250.691,188.321,280.137,185.652,230.965,210.207,151.939
57,0,204.487,235.332,250.66,188.325,280.127,185.659,231.056,210.041,151.975
58,0,204.478,235.324,250.685,188.33,280.13,185.655,231.085,210.109,151.93
59,0,204.464,235.317,250.692,188.297,280.122,185.654,231.034,210.129,151.838
60,0,204.475,235.321,250.687,188.276,280.139,185.652,230.971,210.177,151.927
61,0,204.468,235.315,250.713,188.303,280.138,185.666,230.993,210.181,151.97
62,0,204.464,235.33,250.683,188.314,280.138,185.658,231.118,210.089,151.924
63,0,204.528,235.314,250.737,188.308,280.134,185.661,231.109,210.074,151.936
64,0,204.478,235.32,250.698,188.285,280.133,185.651,231.09,210.065,151.901
65,0,204.477,235.33,250.683,188.32,280.128,185.645,231.119,210.103,151.911
66,0,204.488,235.333,250.692,188.312,280.137,185.635,231.101,210.101,151.906
67,0,204.498,235.339,250.679,188.338,280.154,185.653,230.999,210.176,151.975
68,0,204.113,235.321,250.363,188.287,280.122,185.654,231.088,210.073,151.943
69,0,204.475,235.317,250.702,188.296,280.121,185.659,230.997,210.114,151.969
70,0,204.141,235.32,250.365,188.315,280.136,185.651,230.946,210.213,151.907
71,0,204.49,235.328,250.705,188.306,280.123,185.646,231.046,210.098,151.908
72,0,204.515,235.321,250.708,188.301,280.132,185.661,231.086,210.092,151.903
73,0,204.48,235.315,250.705,188.297,280.121,185.662,231.095,210.075,151.928
74,0,204.503,235.326,250.699,188.316,280.133,185.651,230.992,210.156,152.004
75,0,204.469,235.321,250.683,188.323,280.14,185.65,231.072,210.103,151.882
76,0,204.45,235.324,250.671,188.308,280.132,185.658,231.129,210.032,151.912
77,0,204.474,235.311,250.672,188.29,280.133,185.649,231.092,210.09,151.911
78,0,204.482,235.311,250.704,188.318,280.128,185.659,231.055,210.093,151.909
79,0,204.459,235.318,250.686,188.325,280.132,185.668,231.085,210.092,151.885
80,0,204.474,235.305,250.693,188.314,280.129,185.659,231.098,210.074,151.881
81,0,204.511,235.323,250.72,188.299,280.135,185.656,231.066,210.086,151.859
82,0,204.5,235.328,250.718,188.292,280.13,185.653,230.903,210.246,151.948
83,0,204.485,235.32,250.695,188.323,280.13,185.658,230.954,210.184,151.968
84,0,204.467,235.329,250.671,188.311,280.134,185.657,231.149,210.081,151.96
85,0,204.462,235.331,250.683,188.304,280.122,185.653,231.074,210.11,151.922
86,0,204.488,235.338,250.688,188.27,280.146,185.632,231.025,210.075,151.986
87,0,204.445,235.324,250.657,188.32,280.116,185.673,231.044,210.078,151.896
88,0,204.469,235.313,250.657,188.289,280.131,185.642,231.106,210.042,151.983
89,0,204.485,235.329,250.698,188.348,280.128,185.672,231.062,210.107,151.886
90,0,204.497,235.335,250.715,188.309,280.146,185.648,231.052,210.124,151.848
91,0,204.483,235.319,250.693,188.315,280.133,185.657,230.922,210.232,151.917
92,0,204.477,235.327,250.727,188.3,280.145,185.655,231.065,210.073,151.935
93,0,204.488,235.33,250.698,188.299,280.143,185.654,231.084,210.094,151.912
94,0,204.479,235.337,250.679,188.311,280.142,185.638,231.104,210.031,151.888
95,0,204.484,235.335,250.685,188.313,280.139,185.657,231.032,210.126,151.88
