Trajectories
200
,,BME:T,,,BME:R,,,BME:B,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
78,0,216.781,219.992,251.711,206.334,284.884,205.731,217.078,219.734,146.055
79,0,216.813,220.02,251.75,206.401,284.879,205.747,216.88,219.687,146.035
80,0,216.806,220.018,251.746,206.383,284.894,205.754,217.041,219.686,146.113
81,0,216.812,219.983,251.745,206.353,284.862,205.699,216.847,219.559,146.185
82,0,216.783,219.987,251.685,206.363,284.864,205.677,217.079,219.726,146.049
83,0,216.813,220.021,251.742,206.378,284.884,205.697,217.07,219.83,145.937
84,0,216.824,220.025,251.732,206.406,284.873,205.741,216.86,219.61,146.141
85,0,216.816,220.013,251.747,206.398,284.87,205.725,217.064,219.734,146.077
86,0,216.993,220.052,251.75,206.326,284.868,205.732,216.814,219.599,146.148
87,0,216.932,220.043,251.835,206.368,284.863,205.687,216.81,219.591,146.094
88,0,216.826,220.025,251.728,206.396,284.877,205.722,216.878,219.692,145.979
89,0,216.823,220.006,251.733,206.409,284.88,205.732,216.881,219.678,146.037
90,0,216.793,219.987,251.733,206.419,284.857,205.74,216.85,219.543,146.221
91,0,216.8,219.976,251.734,206.352,284.856,205.689,216.817,219.641,146.05
92,0,216.809,219.998,251.71,206.386,284.854,205.712,216.822,219.58,146.122
93,0,216.941,220.054,251.635,206.418,284.876,205.725,217,219.783,145.98
94,0,216.797,219.998,251.719,206.385,284.875,205.723,217.08,219.758,146.042
95,0,216.766,219.993,251.716,206.329,284.873,205.732,217.055,219.743,146.07
96,0,216.799,219.991,251.731,206.363,284.867,205.746,217.039,219.833,145.948
97,0,216.826,220.015,251.734,206.414,284.895,205.73,216.818,219.591,146.113
98,0,216.983,220.055,251.874,206.417,284.883,205.689,216.912,219.673,146.023
99,0,216.83,219.989,251.729,206.349,284.873,205.69,217.055,219.803,145.925
100,0,216.808,219.994,251.739,206.326,284.866,205.736,217.091,219.727,146.1
101,0,216.796,219.996,251.747,206.382,284.876,205.759,217.061,219.745,146.056
102,0,216.826,220.041,251.756,206.4,284.88,205.742,217.046,219.815,145.937
103,0,216.85,220.019,251.732,206.373,284.869,205.689,216.876,219.671,146.018
104,0,216.826,220.002,251.702,206.393,284.867,205.69,217.048,219.742,146.008
105,0,216.785,219.99,251.727,206.356,284.874,205.703,216.825,219.583,146.114
106,0,216.818,219.988,251.765,206.402,284.88,205.76,217.04,219.743,146.089
107,0,216.815,220.012,251.767,206.383,284.883,205.764,216.832,219.712,145.975
108,0,216.795,220.009,251.715,206.365,284.873,205.717,216.87,219.675,146.002
109,0,216.779,219.981,251.7,206.353,284.869,205.688,216.817,219.57,146.155
110,0,216.825,219.993,251.716,206.373,284.854,205.687,216.859,219.759,145.921
111,0,216.924,220.052,251.872,206.377,284.886,205.743,216.989,219.841,145.867
112,0,216.804,220.026,251.751,206.345,284.883,205.743,217.213,219.803,146.152
113,0,216.765,220.011,251.712,206.359,284.865,205.722,217.047,219.733,146.021
114,0,216.836,220.003,251.728,206.369,284.858,205.692,217.063,219.741,146.069
115,0,216.825,219.999,251.732,206.363,284.868,205.713,216.828,219.651,146.005
116,0,216.802,220.009,251.723,206.377,284.873,205.728,216.843,219.591,146.153
117,0,216.775,220.008,251.724,206.347,284.87,205.741,217.07,219.733,146.039
118,0,216.795,219.987,251.717,206.375,284.864,205.73,217.056,219.735,146.061
119,0,216.816,219.991,251.702,206.386,284.853,205.7,217.051,219.749,146.007
120,0,216.834,219.989,251.727,206.357,284.873,205.679,217.055,219.755,146.049
121,0,216.821,220.012,251.74,206.391,284.886,205.715,217.016,219.844,145.918
122,0,216.786,220.003,251.738,206.394,284.874,205.739,216.807,219.594,146.123
123,0,216.81,220.005,251.747,206.369,284.877,205.753,217.048,219.753,146.063
124,0,216.803,219.998,251.733,206.378,284.879,205.724,216.881,219.679,145.996
125,0,216.944,220.074,251.853,206.373,284.87,205.716,216.84,219.573,146.17
126,0,216.807,220.017,251.695,206.372,284.858,205.675,216.773,219.665,146.009
127,0,216.787,219.983,251.704,206.367,284.873,205.699,216.708,219.511,146.046
128,0,216.786,220.002,251.74,206.357,284.876,205.766,216.779,219.648,145.966
129,0,216.805,220.02,251.746,206.371,284.875,205.754,217.204,219.745,146.186
130,0,216.782,220.019,251.712,206.355,284.877,205.715,216.707,219.525,146.081
131,0,216.931,220.026,251.852,206.362,284.87,205.681,216.909,219.705,146.018
132,0,216.958,220.037,251.861,206.388,284.861,205.687,216.659,219.641,145.941
133,0,216.835,220.01,251.76,206.396,284.882,205.75,217.044,219.801,145.948
134,0,216.797,220.021,251.767,206.369,284.884,205.729,217.004,219.838,145.884
135,0,216.802,220.011,251.732,206.366,284.864,205.732,217.039,219.769,146.048
136,0,216.96,220.04,251.863,206.397,284.874,205.704,216.778,219.67,145.94
137,0,216.812,219.985,251.711,206.388,284.867,205.709,216.722,219.504,146.101
138,0,216.812,219.996,251.722,206.415,284.847,205.729,216.914,219.657,146.016
139,0,216.768,220.012,251.702,206.357,284.871,205.715,217.045,219.759,146.029
140,0,216.788,219.991,251.724,206.377,284.876,205.734,216.882,219.689,145.994
141,0,216.815,220.015,251.76,206.336,284.886,205.727,216.881,219.666,146.049
142,0,216.809,220.004,251.738,206.378,284.871,205.713,216.918,219.682,146.021
143,0,216.787,220.012,251.72,206.394,284.867,205.694,217.064,219.737,146.052
144,0,216.778,219.998,251.71,206.37,284.888,205.727,216.714,219.497,146.1
145,0,216.783,220.022,251.73,206.387,284.893,205.737,217.052,219.741,146.018
146,0,216.807,220.022,251.745,206.378,284.878,205.742,216.827,219.566,146.119
147,0,216.823,219.985,251.724,206.39,284.86,205.714,216.788,219.5,146.226
148,0,216.811,220.002,251.715,206.378,284.854,205.685,217.085,219.729,146.151
149,0,216.809,220.016,251.721,206.398,284.862,205.697,216.88,219.567,146.221
150,0,216.797,220.018,251.758,206.377,284.887,205.76,217.058,219.726,146.086
151,0,216.917,220.036,251.884,206.379,284.875,205.756,217.03,219.771,146.082
152,0,216.783,219.998,251.73,206.343,284.877,205.721,217.072,219.723,146.122
153,0,216.831,220.015,251.716,206.383,284.867,205.689,217.081,219.735,146.131
154,0,216.867,220.013,251.716,206.372,284.871,205.67,216.921,219.649,146.054
155,0,216.825,220.016,251.751,206.376,284.867,205.729,216.873,219.664,146.04
156,0,216.803,220.01,251.753,206.344,284.866,205.748,216.851,219.527,146.182
157,0,216.773,220.004,251.748,206.394,284.881,205.733,217.216,219.729,146.25
158,0,216.784,220.016,251.712,206.396,284.884,205.747,217.073,219.738,146.063
159,0,216.828,220.014,251.714,206.375,284.866,205.721,216.87,219.562,146.186
160,0,216.82,220.015,251.719,206.348,284.856,205.667,216.921,219.625,146.084
161,0,216.917,220.048,251.599,206.339,284.854,205.704,216.865,219.533,146.241
162,0,216.784,220.007,251.732,206.376,284.878,205.755,216.861,219.579,146.154
163,0,216.797,220.025,251.728,206.383,284.887,205.751,217.087,219.732,146.122
164,0,216.817,220.006,251.74,206.385,284.874,205.722,217.1,219.693,146.134
165,0,216.792,219.996,251.712,206.344,284.852,205.718,217.039,219.704,146.106
166,0,216.782,220.007,251.701,206.348,284.866,205.7,216.875,219.635,146.062
167,0,216.822,220.024,251.762,206.408,284.871,205.73,217.038,219.716,146.1
168,0,216.825,220.015,251.756,206.389,284.888,205.743,216.845,219.778,145.907
169,0,216.918,220.031,251.873,206.354,284.875,205.723,216.834,219.606,146.124
170,0,216.776,220.006,251.718,206.37,284.85,205.696,217.02,219.72,146.039
171,0,216.826,220.005,251.72,206.38,284.868,205.702,217.027,219.725,146.059
172,0,216.823,220.01,251.728,206.428,284.873,205.716,216.851,219.713,145.984
173,0,216.923,220.051,251.867,206.37,284.884,205.719,217.006,219.737,146.063
174,0,216.776,219.988,251.725,206.383,284.86,205.73,217.043,219.751,146.025
175,0,216.824,219.997,251.726,206.341,284.861,205.692,217.045,219.732,146.048
176,0,216.92,220.046,251.605,206.374,284.878,205.733,216.854,219.762,145.93
177,0,216.823,220.026,251.743,206.387,284.888,205.75,217.262,219.83,146.056
178,0,216.789,220.001,251.719,206.376,284.872,205.715,217.085,219.764,146.032
179,0,216.886,220.024,251.591,206.369,284.864,205.707,217.087,219.807,145.95
180,0,216.825,220.004,251.756,206.367,284.868,205.705,217.103,219.763,146.07
181,0,216.808,220,251.72,206.405,284.869,205.715,217.269,219.801,146.187
182,0,216.797,220.007,251.707,206.402,284.877,205.72,217.089,219.846,145.938
183,0,216.795,219.985,251.7,206.352,284.863,205.713,217.073,219.839,145.907
184,0,216.801,220.014,251.717,206.361,284.863,205.739,216.823,219.574,146.135
185,0,216.801,220.012,251.748,206.362,284.875,205.742,216.902,219.751,145.948
186,0,216.845,220.019,251.731,206.358,284.883,205.744,217.243,219.761,146.201
187,0,216.806,220.008,251.708,206.361,284.866,205.677,216.906,219.786,145.892
