Trajectories
200
,,BME:T,,,BME:R,,,BME:B,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,222.034,212.987,248.165,187.639,281.087,221.763,207.399,236.638,147.717
2,0,222.041,213.022,248.158,187.617,281.083,221.741,207.381,236.637,147.672
3,0,222.043,212.981,248.072,187.63,281.094,221.75,207.458,236.656,147.663
4,0,222.027,212.953,248.066,187.639,281.085,221.762,207.398,236.611,147.634
5,0,222.02,212.951,248.085,187.613,281.084,221.729,207.421,236.622,147.694
6,0,222.032,212.956,248.119,187.648,281.066,221.772,207.459,236.567,147.71
7,0,222.047,213.014,248.173,187.638,281.083,221.765,207.49,236.613,147.738
8,0,222.059,213.034,248.188,187.563,281.105,221.773,207.479,236.632,147.706
9,0,222.027,212.981,248.115,187.574,281.108,221.767,207.428,236.603,147.684
10,0,222.002,212.95,248.053,187.622,281.111,221.752,207.48,236.608,147.758
11,0,222.042,212.946,248.071,187.654,281.083,221.729,207.487,236.618,147.703
12,0,222.015,212.962,248.07,187.652,281.097,221.723,207.618,236.656,147.728
13,0,222.015,212.962,248.109,187.645,281.112,221.73,207.642,236.598,147.772
14,0,222.024,212.998,248.156,187.61,281.104,221.725,207.538,236.553,147.784
15,0,221.959,212.976,248.081,187.562,281.124,221.697,207.544,236.572,147.772
16,0,222.017,212.957,248.093,187.592,281.106,221.72,207.532,236.567,147.834
17,0,222.014,212.951,248.077,187.588,281.115,221.746,207.559,236.608,147.752
18,0,222.008,212.947,248.073,187.597,281.098,221.745,207.507,236.589,147.77
19,0,222.024,212.932,248.08,187.565,281.111,221.752,207.537,236.63,147.725
20,0,221.966,212.976,248.102,187.589,281.129,221.749,207.599,236.651,147.81
21,0,222.011,212.984,248.125,187.602,281.103,221.769,207.529,236.616,147.784
22,0,221.991,212.966,248.092,187.644,281.09,221.767,207.503,236.539,147.723
23,0,221.998,212.949,248.086,187.622,281.094,221.743,207.522,236.582,147.812
24,0,221.977,212.937,248.06,187.616,281.093,221.715,207.525,236.623,147.824
25,0,222.003,212.972,248.103,187.597,281.091,221.717,207.543,236.562,147.734
26,0,222.012,212.967,248.111,187.618,281.101,221.708,207.579,236.604,147.766
27,0,221.933,212.945,248.067,187.59,281.098,221.736,207.48,236.561,147.733
28,0,221.988,212.923,248.081,187.619,281.107,221.733,207.531,236.615,147.772
29,0,221.951,212.928,248.066,187.58,281.096,221.756,207.627,236.554,147.764
30,0,221.998,212.967,248.094,187.614,281.115,221.753,207.517,236.568,147.674
31,0,222.011,212.996,248.124,187.605,281.13,221.745,207.613,236.625,147.813
32,0,222.015,212.957,248.105,187.596,281.109,221.755,207.549,236.561,147.685
33,0,221.972,212.915,248.081,187.56,281.1,221.755,207.482,236.559,147.742
34,0,221.985,212.937,248.099,187.583,281.104,221.736,207.533,236.521,147.741
35,0,222.074,212.989,248.154,187.625,281.096,221.711,207.592,236.545,147.828
36,0,222.028,212.989,248.119,187.639,281.081,221.732,207.402,236.587,147.717
37,0,221.961,212.942,248.08,187.634,281.092,221.718,207.495,236.645,147.71
38,0,221.956,212.903,248.061,187.568,281.099,221.748,207.511,236.548,147.791
39,0,221.992,212.964,248.07,187.545,281.102,221.753,207.527,236.57,147.791
40,0,222.008,212.966,248.072,187.611,281.114,221.737,207.438,236.622,147.727
41,0,221.962,212.961,248.094,187.6,281.103,221.737,207.443,236.648,147.636
42,0,221.991,212.96,248.147,187.626,281.103,221.745,207.492,236.581,147.696
43,0,222.017,212.992,248.127,187.595,281.096,221.776,207.498,236.621,147.72
44,0,222.033,212.982,248.104,187.561,281.122,221.804,207.535,236.626,147.758
45,0,221.951,212.922,248.03,187.59,281.111,221.768,207.475,236.589,147.741
46,0,221.972,212.922,248.048,187.62,281.104,221.709,207.561,236.599,147.774
47,0,222.033,212.978,248.102,187.612,281.124,221.681,207.585,236.564,147.748
48,0,222.045,212.993,248.156,187.654,281.103,221.692,207.527,236.603,147.739
49,0,221.966,212.978,248.105,187.588,281.096,221.725,207.549,236.601,147.782
50,0,221.952,212.925,248.055,187.62,281.121,221.721,207.526,236.591,147.753
51,0,221.964,212.903,248.046,187.575,281.123,221.741,207.55,236.598,147.755
52,0,222.039,212.956,248.084,187.6,281.123,221.751,207.489,236.602,147.761
53,0,222.059,212.989,248.138,187.61,281.107,221.758,207.471,236.577,147.689
54,0,221.996,212.954,248.146,187.612,281.11,221.752,207.529,236.594,147.701
55,0,221.954,212.978,248.101,187.575,281.116,221.753,207.487,236.561,147.676
56,0,222.029,212.974,248.123,187.544,281.117,221.75,207.505,236.583,147.738
57,0,222.018,212.958,248.076,187.592,281.103,221.762,207.472,236.598,147.74
58,0,222.013,212.931,248.04,187.608,281.105,221.726,207.492,236.574,147.688
59,0,221.98,212.947,248.072,187.667,281.109,221.707,207.469,236.593,147.681
60,0,222.035,212.986,248.125,187.625,281.098,221.722,207.572,236.615,147.742
61,0,222.002,212.99,248.131,187.605,281.105,221.723,207.622,236.564,147.777
62,0,221.964,212.933,248.067,187.56,281.109,221.745,207.398,236.542,147.706
63,0,221.962,212.943,248.041,187.568,281.112,221.75,207.483,236.491,147.694
64,0,221.967,212.933,248.057,187.563,281.113,221.738,207.436,236.628,147.689
65,0,222.005,212.963,248.111,187.595,281.117,221.767,207.523,236.549,147.737
66,0,222.017,212.967,248.131,187.577,281.099,221.766,207.535,236.554,147.74
67,0,221.97,212.968,248.088,187.636,281.117,221.749,207.529,236.552,147.801
68,0,221.98,212.982,248.121,187.548,281.116,221.751,207.568,236.592,147.777
69,0,222.013,212.965,248.104,187.581,281.133,221.695,207.428,236.552,147.721
70,0,222.027,212.947,248.092,187.647,281.102,221.71,207.563,236.557,147.718
71,0,221.992,212.942,248.065,187.649,281.09,221.721,207.521,236.615,147.753
72,0,221.959,212.938,248.066,187.593,281.103,221.74,207.562,236.597,147.751
73,0,221.966,212.967,248.075,187.569,281.111,221.743,207.533,236.613,147.784
74,0,221.998,212.951,248.113,187.527,281.102,221.74,207.543,236.636,147.797
75,0,222.025,212.981,248.132,187.559,281.117,221.743,207.592,236.612,147.741
76,0,222.003,212.962,248.092,187.567,281.115,221.746,207.566,236.558,147.787
77,0,222.028,212.952,248.075,187.648,281.12,221.753,207.546,236.627,147.709
78,0,222.032,212.959,248.085,187.557,281.109,221.752,207.461,236.553,147.747
79,0,222.012,212.948,248.097,187.561,281.119,221.737,207.519,236.555,147.763
80,0,221.978,212.94,248.085,187.575,281.119,221.723,207.471,236.601,147.714
81,0,221.982,212.961,248.093,187.631,281.102,221.745,207.555,236.553,147.794
82,0,221.994,212.962,248.094,187.662,281.092,221.741,207.518,236.554,147.728
83,0,221.988,212.96,248.081,187.649,281.102,221.712,207.563,236.602,147.798
84,0,222,212.957,248.081,187.601,281.107,221.727,207.502,236.557,147.78
85,0,222,212.939,248.049,187.595,281.124,221.714,207.581,236.562,147.805
86,0,221.964,212.944,248.048,187.609,281.119,221.726,207.456,236.635,147.736
87,0,222.023,212.966,248.129,187.605,281.128,221.741,207.545,236.634,147.813
88,0,221.971,212.963,248.11,187.568,281.109,221.751,207.477,236.536,147.778
89,0,221.973,212.932,248.099,187.608,281.104,221.745,207.537,236.565,147.811
90,0,222.007,212.969,248.093,187.586,281.108,221.742,207.585,236.578,147.782
91,0,221.947,212.942,248.042,187.587,281.113,221.744,207.499,236.62,147.774
92,0,222.018,212.953,248.078,187.607,281.11,221.734,207.487,236.555,147.711
93,0,221.982,212.915,248.058,187.59,281.109,221.725,207.534,236.559,147.812
94,0,221.971,212.969,248.109,187.629,281.089,221.714,207.575,236.585,147.785
95,0,222.013,212.991,248.16,187.619,281.086,221.736,207.48,236.527,147.704
96,0,222.018,212.998,248.147,187.596,281.126,221.732,207.57,236.633,147.752
97,0,221.967,212.934,248.056,187.557,281.11,221.766,207.465,236.617,147.669
98,0,221.98,212.904,248.041,187.587,281.116,221.736,207.422,236.575,147.661
99,0,221.99,212.922,248.064,187.573,281.093,221.741,207.524,236.506,147.773
100,0,222.024,213.002,248.129,187.622,281.097,221.735,207.569,236.552,147.787
101,0,222.009,213.021,248.142,187.677,281.085,221.75,207.447,236.615,147.726
102,0,222.014,212.976,248.151,187.573,281.108,221.743,207.538,236.556,147.725
103,0,222.004,212.957,248.096,187.566,281.096,221.769,207.572,236.529,147.691
104,0,222.034,212.94,248.09,187.582,281.101,221.763,207.611,236.562,147.763
105,0,222.014,212.933,248.059,187.618,281.103,221.733,207.535,236.597,147.692
106,0,221.98,212.937,248.041,187.636,281.114,221.731,207.493,236.571,147.694
107,0,221.976,212.943,248.077,187.599,281.109,221.702,207.432,236.58,147.772
108,0,222.025,212.977,248.13,187.569,281.101,221.725,207.633,236.612,147.758
109,0,222.049,213.026,248.167,187.539,281.135,221.737,207.569,236.618,147.774
110,0,222.012,212.955,248.101,187.635,281.112,221.746,207.506,236.605,147.776
111,0,221.997,212.916,248.035,187.643,281.108,221.755,207.534,236.545,147.736
112,0,221.992,212.937,248.06,187.579,281.112,221.742,207.513,236.615,147.788
113,0,222.067,212.992,248.159,187.593,281.103,221.763,207.639,236.537,147.72
114,0,222.032,212.99,248.113,187.577,281.11,221.757,207.565,236.581,147.745
115,0,221.946,212.938,248.084,187.611,281.103,221.748,207.548,236.577,147.741
116,0,221.932,212.925,248.071,187.586,281.105,221.727,207.607,236.605,147.767
117,0,221.994,212.949,248.071,187.627,281.093,221.712,207.491,236.561,147.727
118,0,222.007,212.964,248.078,187.6,281.095,221.732,207.552,236.602,147.784
119,0,221.979,212.964,248.066,187.629,281.09,221.745,207.551,236.553,147.799
120,0,221.979,212.958,248.108,187.593,281.097,221.742,207.517,236.578,147.749
121,0,221.982,212.96,248.126,187.553,281.122,221.733,207.536,236.615,147.726
122,0,221.998,212.998,248.108,187.562,281.101,221.725,207.515,236.592,147.773
123,0,221.997,212.96,248.098,187.631,281.12,221.74,207.468,236.616,147.772
124,0,221.971,212.921,248.061,187.593,281.113,221.762,207.509,236.553,147.768
125,0,221.984,212.933,248.071,187.631,281.099,221.774,207.546,236.596,147.78
126,0,221.973,212.974,248.098,187.573,281.108,221.769,207.614,236.566,147.786
127,0,222.018,212.94,248.118,187.581,281.1,221.731,207.591,236.581,147.732
128,0,221.941,212.923,248.081,187.606,281.107,221.708,207.531,236.577,147.722
129,0,221.941,212.944,248.064,187.653,281.099,221.712,207.531,236.527,147.741
130,0,221.954,212.957,248.074,187.613,281.096,221.692,207.48,236.561,147.775
131,0,222.004,212.952,248.099,187.569,281.096,221.741,207.43,236.602,147.713
132,0,222.047,212.96,248.09,187.578,281.096,221.747,207.555,236.56,147.737
133,0,222.029,212.957,248.086,187.583,281.135,221.773,207.44,236.592,147.715
134,0,221.987,212.959,248.064,187.574,281.115,221.753,207.562,236.618,147.779
135,0,221.997,213.003,248.138,187.632,281.109,221.736,207.382,236.54,147.706
136,0,222.023,212.965,248.141,187.625,281.138,221.717,207.521,236.544,147.727
137,0,222.048,212.968,248.137,187.603,281.102,221.755,207.535,236.652,147.798
138,0,222.001,212.921,248.061,187.588,281.125,221.726,207.57,236.646,147.813
139,0,221.996,212.943,248.04,187.607,281.114,221.73,207.519,236.604,147.78
140,0,221.969,212.972,248.09,187.626,281.111,221.709,207.437,236.614,147.726
141,0,221.995,212.969,248.131,187.642,281.088,221.729,207.501,236.538,147.761
142,0,221.987,212.953,248.111,187.603,281.1,221.724,207.508,236.562,147.794
143,0,221.989,212.937,248.059,187.564,281.129,221.756,207.569,236.534,147.772
144,0,222.026,212.96,248.086,187.562,281.121,221.74,207.586,236.559,147.804
145,0,222.013,212.952,248.081,187.563,281.12,221.748,207.551,236.591,147.802
146,0,222.005,212.958,248.114,187.644,281.098,221.742,207.503,236.557,147.7
147,0,221.968,212.994,248.102,187.651,281.107,221.747,207.554,236.572,147.751
148,0,222.003,212.986,248.132,187.651,281.092,221.772,207.55,236.573,147.801
149,0,221.954,212.923,248.08,187.559,281.118,221.752,207.454,236.623,147.699
150,0,221.946,212.895,248.042,187.577,281.117,221.723,207.531,236.572,147.764
151,0,221.969,212.921,248.053,187.595,281.108,221.718,207.514,236.605,147.779
152,0,221.967,212.948,248.07,187.675,281.109,221.705,207.43,236.529,147.676
153,0,221.954,212.976,248.092,187.628,281.098,221.727,207.504,236.58,147.723
154,0,222.036,212.984,248.154,187.543,281.116,221.737,207.544,236.573,147.743
155,0,221.961,212.937,248.052,187.562,281.103,221.766,207.419,236.572,147.713
156,0,221.978,212.935,248.065,187.588,281.113,221.754,207.528,236.578,147.739
157,0,222.033,212.992,248.116,187.609,281.099,221.755,207.523,236.62,147.756
158,0,222.006,212.987,248.093,187.649,281.101,221.76,207.505,236.581,147.698
159,0,221.971,212.932,248.079,187.61,281.092,221.775,207.405,236.527,147.778
160,0,221.974,212.944,248.067,187.533,281.122,221.741,207.499,236.592,147.797
161,0,222.022,212.987,248.102,187.573,281.111,221.719,207.501,236.556,147.754
162,0,222.004,212.986,248.127,187.599,281.121,221.706,207.551,236.56,147.732
163,0,221.939,212.928,248.102,187.642,281.093,221.708,207.626,236.612,147.727
164,0,221.929,212.941,248.063,187.662,281.088,221.732,207.673,236.626,147.756
165,0,221.986,212.962,248.079,187.596,281.116,221.751,207.493,236.553,147.717
166,0,222.034,212.947,248.057,187.571,281.128,221.744,207.508,236.588,147.718
167,0,221.987,212.969,248.068,187.564,281.117,221.746,207.499,236.574,147.717
168,0,222.008,212.975,248.126,187.61,281.115,221.737,207.53,236.531,147.764
169,0,222.01,212.963,248.171,187.598,281.092,221.76,207.502,236.552,147.797
170,0,222.041,213.015,248.145,187.599,281.107,221.754,207.537,236.569,147.714
171,0,222.052,212.986,248.104,187.58,281.136,221.773,207.526,236.553,147.759
172,0,222.007,212.946,248.042,187.585,281.123,221.758,207.544,236.583,147.809
173,0,221.999,212.906,248.052,187.575,281.085,221.731,207.542,236.57,147.733
174,0,221.985,212.955,248.106,187.636,281.1,221.7,207.527,236.536,147.741
175,0,222.017,213.007,248.175,187.603,281.093,221.725,207.504,236.614,147.732
176,0,221.97,212.98,248.118,187.581,281.098,221.736,207.474,236.536,147.718
177,0,221.995,212.937,248.071,187.584,281.109,221.742,207.538,236.58,147.745
178,0,221.964,212.916,248.034,187.578,281.112,221.753,207.541,236.534,147.736
179,0,222.045,212.978,248.091,187.605,281.112,221.776,207.604,236.615,147.783
180,0,221.974,212.99,248.124,187.626,281.108,221.743,207.445,236.613,147.751
181,0,221.974,212.947,248.105,187.591,281.106,221.761,207.457,236.572,147.716
182,0,222.016,212.984,248.113,187.602,281.108,221.76,207.532,236.554,147.782
183,0,222.016,212.978,248.112,187.543,281.131,221.761,207.695,236.555,147.735
184,0,221.98,212.946,248.068,187.592,281.111,221.732,207.499,236.596,147.803
185,0,221.943,212.937,248.054,187.636,281.092,221.732,207.539,236.531,147.753
186,0,221.958,212.938,248.097,187.671,281.088,221.705,207.489,236.594,147.687
187,0,222.002,212.977,248.129,187.613,281.111,221.725,207.485,236.569,147.747
188,0,222.006,212.969,248.094,187.571,281.109,221.735,207.55,236.588,147.757
189,0,222.035,212.97,248.076,187.566,281.123,221.755,207.473,236.639,147.77
190,0,221.997,212.969,248.099,187.58,281.126,221.74,207.517,236.574,147.772
191,0,222.028,212.958,248.103,187.599,281.11,221.741,207.6,236.596,147.788

